country_css_class,country,national_language,population,flag_image_url,compliance_requirement_for_telecom_radio,regulatory_authority,mandatory_requirements_telecom_radio_safety_emc,in_country_test,language_requirements_application_manual_report,local_representation_required_for_approval,country_specific_labelling,approval_validity,factory_inspection,other_requirements,radio_telecom_certificate_example_url,radio_telecom_mark_artwork_url,emc_certification_and_test_report_required_for_it_products,emission_and_immunity,safety_certification_required_for_it_products,safety_test_report_requirement,rohs_certification_required_for_it_products,rohs_requirements,sample_required_in_country,language_requirements_user_manual_product_safety_markings,local_representative_applicant_required,mandatory_factory_inspection_requirement,remarks,safety_emc_certificate_example_url,safety_emc_mark_artwork_url,energy_efficiency_requirements,energy_efficiency_certificate_example_url,energy_efficiency_mark_artwork_url
serbia,SERBIA,Serbian,6.9 million,https://www.nemko.com/hs-fs/hubfs/rs.jpg?width=98&quality=high,Yes,Republic Telecom Agency RATEL,TelecomRadioSafetyEMC,No,"Manual, declarations, and warnings in Serbian",No,Yes,5 Years,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,Until 31 Dec. 2021: For all products that fall under EU EMC directive,E and I,Until 31 Dec. 2021: for all products that fall under the EU Low Voltage Directive,IEC 62368-1,No,Yes (6 substances),No,"Yes, in Serbian","Yes, for telecom/RF No, for safety/EMC",None,Other requirements for radio might apply.,,,Unknown,,
argentina,ARGENTINA,Spanish,45.3 million,https://www.nemko.com/hubfs/ar.png,Yes,Ente Nacional de Comunicaciones (ENACOM),TelecomRadioSafetyEMC,R – Yes,"Spanish application, manual, report",Yes,Yes,3 years,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,No,No,"Yes, for some products",IEC 60950 & IEC 62368,No,Unknown,No,Spanish,"Yes, for getting the import permit",Yes,,,,Yes,,
australia,AUSTRALIA,"no official, English",25.6 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/au.png,Yes,Australia Communications and Media Authority (ACMA),TelecomRadioSafetyEMC,No,English,Yes – Supplier holds tech. file,Yes,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,No,No,Yes,Yes,No,Unknown,No,English is OK,"Yes, for RCM registration",No,,,,Yes,,
belarus,BELARUS,Belarusian/Russian,9.4 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/by.png,Yes,Ministry of Communications and Informatization of the Republic of Belarus,TelecomRadioSafetyEMC,No,Manual in Belarusian/Russian,Yes,Yes,Up to 5 years,For 3 years validity or more,,,,COC or DoC scheme,E and I,COC or DoC scheme (note the certification validity),"Yes, CB scheme only (IEC 62368-1, IEC 60950)",CoC or DoC Scheme (note the certification validity),Yes (6 substances),"Yes, for CoC",Russian and the official language,Yes,Yes,HS code required List all other product exemptions and note and assumption info.,,,Yes,,
bolivia,BOLIVIA,Spanish and 36 indigenous,11.6 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/bo.png,Yes,Superintendencia de Telecomunicaciones,Telecom Radio,No,Spanish manual,Yes,None,3 years,No,,,,,,,,,Unknown,,,,,,,,Unknown,,
brazil,BRAZIL,Spanish,212.6 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/br.png,Yes,Agencia Nacional de Telecomunicac oes (ANATEL),TelecomRadioSafetyEMC,Yes depending on technology,Portuguese manual,Yes,Yes,2 year or 3 years depending on category of equipment,No,,,,Voluntary,Voluntary,Voluntary,Voluntary,No,Unknown,No,Portuguese,Yes,Yes,,,,Yes,,
canada,CANADA,English/French,38 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/ca.png,Yes,"Innovation, Science, and Economic Development Canada (ISED)",TelecomRadioSafetyEMC,No,M: ISED notices in English and French,Yes,Yes,Life of product,No,,,,SDoC (Emissions),E,"Yes, from NRTL/SCC","Yes, from NRTL/SCC",No,Unknown,No,English and French,No,"Yes, for safety",Other requirements for radio might apply.,,,Yes,,
chile,CHILE,Spanish,19.1 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/cl.png,Yes,Subsecretaria de Telecomunicaciones (SUBTEL),Telecom Radio,No,Spanish manual,No,None,Life of product,No,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,No,No,Yes,Yes,No,Unknown,Nemko report accepted,Spanish,"Yes, need actual importer","Yes, for scheme II approval",,,,Yes,,
china-mainland,CHINA MAINLAND,Mandarin,1.40 billion,https://www.nemko.com/hubfs/Global%20Marketing%20flags/cn.png,Yes,T: MII R: SRRC,TelecomRadioEMCSafety,Yes (Depending on device type),Chinese (ISO certificate: English is OK),T: Yes R: No,Yes,T: 1 year / 3 years R: 5 years,T/R: ISO9000,"Other requirements for EMC, safety and ROHS might apply. Please check the Nemko Direct key info for more information.",,,Yes,Yes,Yes,Yes,"Yes, for some products",Yes (6 substances),Yes,Simplified Chinese,No,Yes,,,,Yes,,
colombia,COLOMBIA,Spanish,50.8 million,https://www.nemko.com/hubfs/Global%20Marketing%20flags/co.png,Yes,Comision de Regulacion de Comunicaciones (CRC),TelecomRadio,R - No,No,No,Yes for WWAN with voice,Life of product,No,,,,No,No,Not for ITE,Not for ITE,No,Unknown,No,Spanish,No,Yes,No certification required for ITE,,,Unknown,,
